HarmonizedTimeSeries,KohaEUnifikuar,MudaUlioratibiwa,Harmonisert: Flaggskip,гармонізувати,تنسجم,Hindi,SériesHarmonizadas
&Meta Manager,&Meta,&Msimamizi,&Meta Admin,Адмініструвати,يدير,एडमिरल,&Gestor Meta
Look for Updates,Përditësime,Sasisho,Se etter Oppdatinger,Перевірити оновлення,تحديثات,अपडेट्स,Verificar Atualizações
&Help,&Ndihmë,&Msaada,&Hjelp,Довідка,يساعد,मदद,&Ajuda
CommonBasisPeriod,Bazë,KipindiMsingiChaPamoja,FellesBasisPeriode,Загальна основа,أساس مشترك,सामान्य आधार,PeríodoBaseComum
Name,Emër,Jina,Navn,Ім'я,التشيي,नाम,Nome
Desc,Përshkrim,Maelezo,Beskrivelse,опис,التشيی,विवरण,Descrição
UnitId!,Njësi,Kipimo,Enhet,одиниця,التشيی,चार्ट,UnitId!
Freq!,Frekuencë,Marudio,Frek,частота,التشيي,आवृत्ति,Freq!
Unit,Njësi,Kipimo,Enhet,одиниця,التشيی,चार्ट,Unidade
Url,Url,Tovuti,Url,Інтернет,التشيي,वेब,Url
Source,Burim,Chanzo,Kilde,джерело,التشيي,स्रोत,Fonte
Updated,Përditësuar,Sasishwa,Oppdatert,Оновлено,التشيي,अद्यतन,Atualizado
UpdatedBy,PërditësuarNga,ImesasishwaNa,OppdatertAv,ОновленоКим,ثيدحترخآ,अपडेटकर्ता,AtualizadoPor
NumberOfObs,NumriIVëzhgimeve,IdadiYaUchunguzi,AntallObs,Номер,ييشتلا,संख्या,NúmObs
LastObs,VëzhgimiIFundit,UchunguziWaMwisho,SisteObs,ОстаннєСпост,دصررخآ,अंतिमओब्स,ÚltimaObs
LastDiff,DallimIFundit,TofautiYaMwisho,SisteDiff,ОстанняРізн,قرفرخآ,अंतिमअंतर,ÚltimaDif
MinDate,DataMinimale,TarehiYaKwanza,FørsteDato,МінДата,خيراتىندأ,न्यूनतमदिनांक,DataMín
MaxDate,DataMaksimale,TarehiYaMwisho,SisteDato,МаксДата,خيراتىصقأ,अधिकतमदिनांक,DataMáx
Interval,Interval,Kipindi,Intervall,Інтервал,ةرتف,अंतराल,Intervalo
Hits,Goditje,Matokeo,Treff,Збіг,ةجيتن,परिणाम,Resultados
SetId,SetId,SetId,SetId,СетІД,SetId,SetId,SetId
SetID,ID Dataseti,Kitambulisho,SetID,ID набору,تانايبلا فرعم,डेटासेट   ,SetID
Title,title,title,title,title,title,title,Título
CurveId!,CId,Kitambulisho,KurveId,ідент,التشيي,पहचान,CurveId!
Name,Emër,Jina,Navn,Ім'я,التشيी,नाम,Nome
Desc,Përshkrim,Maelezo,Beskrivelse,опис,التشيی,विवरण,Descrição
Color,Ngjyrë,Rangi,Farge,Колір,اللون,रंग,Cor
Width,Gjerësia,Upana,Bredde,Ширина,العرض,चौड़ाई,Largura
Style,Vijë,Mstari,Style,Пунктирна,متقطع,डैश रेखा,Estilo
Axis,Bosht,Mhimili,Akse,вісь,التشيی,एक्सिस,Eixo
Function,Funksion,Kazi,Funksjon,функція,التشيي,कार्य,Função
Step,Hap,Hatua,Steg,крок,التشيی,कदम,Passo
Convert,Konverto,Badilisha,Konverter,Конвертувати,ليوحت,बदलें,Converter
Interval,Interval,Kipindi,Intervall,Інтервал,التشيي,मध्यान्तर,Intervalo
Aggregate,Agregat,Jumlisho,Aggregat,агрегатний,التشيي,सकल,Agregar
Type,Lloj,Aina,Type,Тип,التشيي,प्रकार,Tipo
Stacking,Shtresim,Upangaji,Stabling,Укладання,التشيي,स्टैकिंग,Empilhamento
Order,Renditje,Panga,Sortere,Сортування,الترتيب,क्रमबद्ध करें,Ordenar
UnitID!,UnitID!,UnitID!,UnitID!,UnitID!,UnitID!,UnitID!,UnitID!,
&YearChart,&YGrafikë,&YMchoro,&ÅrGraf,Діаграма,لتشييد,चार्ट,&GráficoAnual
Decimals#,Decimalë,Desimali,Desimaler,Десяткові,الكسور,दशमलव,Decimais
DateFormat,Formati i datës,Muundo wa tarehe,Datoformat,Формат дати,تنسيق التاريخ,दिनांक प्रारूप,FormatoData
Wildcarding,Karaktere zëvendësuese,Herufi mbadala,Jokernotasjon,Шаблони,أحرف البدل,वाइल्डकार्ड,Curinga
Releases..,Publikimet,Matoleo,Oppgraderinger..,Версії,الإصدارات,रिलीज़,Versões..
About,Rreth,Kuhusu,Om Harmonize,Про програму,حول,के बारे में,Sobre
